user_id,ou_id,ou_title,user_tenure_months,user_employment_status_id,manager_id,training_object_id,training_title,training_type,progress_percent,is_overdue,is_completed,transcript_status_id,assigned_dt,due_dt,completed_dt,reg_num
6,141,All Managers,N,N,N,b25662b8-15d4-4328-a602-17738df96f11,ESP Cable Field Splice Train The Trainer,EVNT,,1,0,65540,2026-01-22 02:09:33.397+05:30,2026-02-21 13:29:00+05:30,N,1
6,141,All Managers,N,N,N,01ea5674-c3cf-421f-9123-18c154a1afd9,Test - creating a material,MTRL,,1,0,65552,2026-01-22 02:13:47.243+05:30,2026-02-21 13:29:00+05:30,N,1
6,141,All Managers,N,N,N,439d53e7-9648-49ff-8f2f-19720ca6dde5,Talent Management: Basics,CRSE,,1,0,65552,2026-01-22 02:16:36.893+05:30,2026-02-21 13:29:00+05:30,N,1
6,141,All Managers,N,N,N,21e9c852-9cf0-4f50-a362-1e7d506d6084,New Hire Module for Training,EVNT,,1,0,65540,2026-01-22 02:07:13.817+05:30,2026-02-21 13:29:00+05:30,N,1
6,141,All Managers,N,N,N,b42d13a5-f7dc-40d1-8a52-5e6b572604df,Product Spotlight - Email Administration,CRSE,,1,0,65552,2026-03-31 01:04:15.917+05:30,2026-04-30 12:29:00+05:30,N,1
6,141,All Managers,N,N,N,8e9b17ec-1ffc-45dd-8e62-6733eee7194d,Customer Experience (CX) Foundations,EXTL,,0,0,16,2026-03-31 01:06:46.3+05:30,N,N,1
6,141,All Managers,N,N,N,e5c8ba8f-9b6d-4054-8ace-75cddec2cf9a,Advocating for Yourself,PRGM,0.0,1,0,65568,2026-03-31 01:06:45.267+05:30,2026-04-30 12:29:00+05:30,N,1
6,141,All Managers,N,N,N,15f7178a-7e7b-453f-8aa3-945a9afc353f,15F7178A-7E7B-453F-8AA3-945A9AFC353F,SLCH,,1,0,65538,2024-09-13 16:32:00.153+05:30,2024-09-21 04:29:00+05:30,N,1
6,141,All Managers,N,N,N,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,CRSE,,0,0,16,2025-09-12 00:06:13.11+05:30,N,N,1
6,141,All Managers,N,N,N,abb595f3-7e58-4499-83b2-a46bc993e519,ABB595F3-7E58-4499-83B2-A46BC993E519,MTRL,,1,0,65552,2026-03-31 16:49:47.76+05:30,2026-04-30 23:59:00+05:30,N,1
6,141,All Managers,N,N,N,d69725ce-953f-40cb-8325-a9a0a0d9bed3,D69725CE-953F-40CB-8325-A9A0A0D9BED3,VID ,,1,0,65552,2026-03-31 16:52:37.84+05:30,2026-04-30 23:59:00+05:30,N,1
6,141,All Managers,N,N,N,16b2065d-23a5-420a-883c-ae7418b9759a,16B2065D-23A5-420A-883C-AE7418B9759A,MTRL,,1,0,65552,2026-03-31 16:52:43.967+05:30,2026-04-30 23:59:00+05:30,N,1
6,141,All Managers,N,N,N,70b79284-ac31-40b7-8f0f-c78a79169ad5,70B79284-AC31-40B7-8F0F-C78A79169AD5,FILE,,0,0,16,2026-03-31 01:06:45.897+05:30,N,N,1
6,141,All Managers,N,N,N,3bc886c0-2e66-451f-a43e-d72d6cfb0ca5,3BC886C0-2E66-451F-A43E-D72D6CFB0CA5,PRGM,,1,0,65540,2025-04-12 22:09:06.47+05:30,2025-05-02 23:59:00+05:30,N,1
7,2764,OnBoarding Group 2024,N,N,N,b25662b8-15d4-4328-a602-17738df96f11,ESP Cable Field Splice Train The Trainer,EVNT,,1,0,65540,2026-01-22 02:09:47.66+05:30,2026-02-21 13:29:00+05:30,N,1
7,2764,OnBoarding Group 2024,N,N,N,01ea5674-c3cf-421f-9123-18c154a1afd9,Test - creating a material,MTRL,,1,0,65552,2026-01-22 02:09:57.763+05:30,2026-02-21 13:29:00+05:30,N,1
7,2764,OnBoarding Group 2024,N,N,N,439d53e7-9648-49ff-8f2f-19720ca6dde5,Talent Management: Basics,CRSE,,1,0,65552,2026-01-22 02:10:08.207+05:30,2026-02-21 13:29:00+05:30,N,1
7,2764,OnBoarding Group 2024,N,N,N,21e9c852-9cf0-4f50-a362-1e7d506d6084,New Hire Module for Training,EVNT,,1,0,65540,2026-01-22 02:06:35.293+05:30,2026-02-21 13:29:00+05:30,N,1
7,2764,OnBoarding Group 2024,N,N,N,b42d13a5-f7dc-40d1-8a52-5e6b572604df,Product Spotlight - Email Administration,CRSE,,1,0,65552,2026-03-31 01:02:01.19+05:30,2026-04-30 12:29:00+05:30,N,1
7,2764,OnBoarding Group 2024,N,N,N,15f7178a-7e7b-453f-8aa3-945a9afc353f,15F7178A-7E7B-453F-8AA3-945A9AFC353F,SLCH,,1,0,65538,2024-09-13 16:30:48.603+05:30,2024-09-21 04:29:00+05:30,N,1
7,2764,OnBoarding Group 2024,N,N,N,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,CRSE,,0,0,16,2025-09-12 00:03:54.79+05:30,N,N,1
7,2764,OnBoarding Group 2024,N,N,N,3bc886c0-2e66-451f-a43e-d72d6cfb0ca5,3BC886C0-2E66-451F-A43E-D72D6CFB0CA5,PRGM,,1,0,65540,2025-04-12 22:13:43.45+05:30,2025-05-02 23:59:00+05:30,N,1
8,141,All Managers,0,N,N,b25662b8-15d4-4328-a602-17738df96f11,ESP Cable Field Splice Train The Trainer,EVNT,,1,0,65540,2026-01-22 02:03:22.913+05:30,2026-02-21 13:29:00+05:30,N,1
8,141,All Managers,0,N,N,01ea5674-c3cf-421f-9123-18c154a1afd9,Test - creating a material,MTRL,,1,0,65552,2026-01-22 02:09:41.433+05:30,2026-02-21 13:29:00+05:30,N,1
8,141,All Managers,0,N,N,439d53e7-9648-49ff-8f2f-19720ca6dde5,Talent Management: Basics,CRSE,,1,0,65552,2026-01-22 02:09:46.52+05:30,2026-02-21 13:29:00+05:30,N,1
8,141,All Managers,0,N,N,21e9c852-9cf0-4f50-a362-1e7d506d6084,New Hire Module for Training,EVNT,,1,0,65540,2026-01-22 02:05:07.64+05:30,2026-02-21 13:29:00+05:30,N,1
8,141,All Managers,0,N,N,04313a0a-4bfe-4177-aee3-43f5331e1564,Test w Krakowie,EVNT,,0,0,4,2024-09-11 04:30:36.35+05:30,N,N,1
8,141,All Managers,0,N,N,b42d13a5-f7dc-40d1-8a52-5e6b572604df,Product Spotlight - Email Administration,CRSE,100.0,0,1,64,2014-03-02 04:59:53.273+05:30,N,2014-03-02 05:10:55.187+05:30,1
8,141,All Managers,0,N,N,15f7178a-7e7b-453f-8aa3-945a9afc353f,15F7178A-7E7B-453F-8AA3-945A9AFC353F,SLCH,,1,0,65538,2024-09-13 16:30:33.693+05:30,2024-09-21 04:29:00+05:30,N,1
8,141,All Managers,0,N,N,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,CRSE,,0,0,16,2025-09-12 00:06:14.017+05:30,N,N,1
8,141,All Managers,0,N,N,1e73eb1e-9795-4f33-87ce-b14180c35861,1E73EB1E-9795-4F33-87CE-B14180C35861,CRSE,,1,0,65552,2012-10-25 20:15:07.707+05:30,2012-11-25 11:29:00+05:30,N,1
8,141,All Managers,0,N,N,1e73eb1e-9795-4f33-87ce-b14180c35861,1E73EB1E-9795-4F33-87CE-B14180C35861,CRSE,,1,0,65552,2013-10-26 00:04:55.02+05:30,2013-11-25 11:29:00+05:30,N,2
8,141,All Managers,0,N,N,1e73eb1e-9795-4f33-87ce-b14180c35861,1E73EB1E-9795-4F33-87CE-B14180C35861,CRSE,,1,0,65552,2014-10-26 20:12:59.957+05:30,2014-11-26 11:29:00+05:30,N,3
8,141,All Managers,0,N,N,3bc886c0-2e66-451f-a43e-d72d6cfb0ca5,3BC886C0-2E66-451F-A43E-D72D6CFB0CA5,PRGM,,1,0,65540,2025-04-12 22:08:52.783+05:30,2025-05-02 23:59:00+05:30,N,1
8,141,All Managers,0,N,N,fb0051aa-5517-452e-aa55-e79072f7d41f,FB0051AA-5517-452E-AA55-E79072F7D41F,CRSE,,1,0,65552,2012-10-30 19:57:05.4+05:30,2012-11-05 11:29:00+05:30,N,1
8,141,All Managers,0,N,N,fb0051aa-5517-452e-aa55-e79072f7d41f,FB0051AA-5517-452E-AA55-E79072F7D41F,CRSE,,1,0,65552,2012-11-29 19:57:27.163+05:30,2012-12-04 19:57:00+05:30,N,2
8,141,All Managers,0,N,N,fb0051aa-5517-452e-aa55-e79072f7d41f,FB0051AA-5517-452E-AA55-E79072F7D41F,CRSE,,1,0,65552,2012-12-29 19:57:17.933+05:30,2013-01-03 19:57:00+05:30,N,3
9,141,All Managers,N,N,4,b25662b8-15d4-4328-a602-17738df96f11,ESP Cable Field Splice Train The Trainer,EVNT,,1,0,65540,2026-01-22 02:05:59.43+05:30,2026-02-21 13:29:00+05:30,N,1
9,141,All Managers,N,N,4,01ea5674-c3cf-421f-9123-18c154a1afd9,Test - creating a material,MTRL,,1,0,65552,2026-01-22 02:05:36.393+05:30,2026-02-21 13:29:00+05:30,N,1
9,141,All Managers,N,N,4,439d53e7-9648-49ff-8f2f-19720ca6dde5,Talent Management: Basics,CRSE,,1,0,65552,2026-01-22 02:05:38.56+05:30,2026-02-21 13:29:00+05:30,N,1
9,141,All Managers,N,N,4,21e9c852-9cf0-4f50-a362-1e7d506d6084,New Hire Module for Training,EVNT,,1,0,65540,2026-01-22 02:10:51.497+05:30,2026-02-21 13:29:00+05:30,N,1
9,141,All Managers,N,N,4,04313a0a-4bfe-4177-aee3-43f5331e1564,Test w Krakowie,EVNT,,0,0,4,2024-09-11 04:31:15.487+05:30,N,N,1
